Array Size;Gops/s;Gops/s (huge pages)
454656;68.10319546442268;67.14446189503526
458752;68.25061309503813;67.06096366485278
462848;68.10682620338889;67.69945352971051
466944;67.27135612423987;66.71185245764833
471040;66.88766864171666;67.31224819536503
475136;68.22661573870839;66.73776189163954
479232;68.01016601997588;66.77625590353375
483328;68.11008370997234;67.23242101510147
487424;68.08794569422886;65.66971371262693
491520;68.09080269555575;67.61590521438781
495616;68.10378807041532;66.98189006555724
499712;67.52294569715396;67.73648064771709
503808;68.04500954979537;66.66563124652066
507904;67.49477021418832;66.42147389491242
512000;67.90875848859483;64.77333549590463
516096;67.95796161309075;66.24611212018227
520192;68.05919182282794;67.98585512186855
524288;68.13009831580747;67.32812406009702
528384;67.385004048583;67.06821759570181
532480;67.39149208618096;65.61697528830312
536576;67.36627472156599;67.49534276480101
540672;68.02300717948718;66.16803990688393
544768;67.79117125656968;65.11065001224591
548864;68.01242417021277;67.57346692904171
552960;67.8016348773842;66.51594687160637
557056;67.88777716654229;67.84546590207034
561152;67.99911499424407;66.64557531276063
565248;67.8779687846482;66.39068162070609
569344;66.73489618218353;66.99475325929309
573440;67.49583979349141;66.53385487168477
577536;67.15760578054109;66.06228837681671
581632;66.93447345982312;66.32262865716429
585728;67.92786560927773;67.19443947701392
589824;66.9032274952229;67.55505675545444
593920;67.88040413166186;67.7000447133427
598016;67.78224959701366;67.08597154366961
602112;66.78586620321092;66.64483547257876
606208;67.88151439693074;67.9356000374466
610304;67.8096141760086;65.82239122681766
614400;67.85941707857509;67.58681194513896
618496;67.52945644330876;67.47802139718698
622592;67.50487745541508;67.84588455644476
626688;67.78844791916823;65.89626651235844
630784;67.60502724174607;67.08548388725283
634880;66.23000664451827;67.25977389372709
638976;66.94254158042554;66.78184808642493
643072;61.28260682446973;65.70432836027504
647168;63.73221997057153;67.46960363994052
651264;61.743310491234226;67.63123093609461
655360;62.90956696700073;67.01103635147881
659456;60.60423934503653;64.34236717551087
663552;61.95148214424649;67.14414368833799
667648;62.272020031298915;67.46663411325875
671744;62.7606710001938;67.56816719055305
675840;63.260791908607615;65.19463866786974
679936;64.43573902745482;67.17863631200545
684032;64.25691268034093;66.99785123689728
688128;63.60722830275643;66.31457007560024
692224;65.44100083507965;66.2840818866976
696320;65.98658714380386;67.3553878893403
700416;64.8417061364192;66.89319184253253
704512;66.00595631240208;66.11759052247146
708608;66.83934671006948;66.27596065380644
712704;66.9617464262058;67.49013302742055
716800;67.54548727088577;66.7982941613038
720896;67.40655407808927;67.14119651105347
724992;67.3877185757407;66.76864685869629
729088;67.27022904259266;66.392674044291
733184;65.51804336241726;67.06403745410547
737280;66.80797994944405;66.71282521838738
741376;67.0358971036966;66.0168390666346
745472;67.44417115368385;64.6907024952612
749568;66.99956853620868;67.03709775573675
753664;67.43895127734777;65.81965757566536
757760;67.52060140106532;66.45090850182049
761856;66.29415746293988;66.92582464375525
765952;67.25870827898646;67.34213204835575
770048;67.46471414008396;64.32649635745507
774144;66.63560083727741;67.35282739420035
778240;67.1408880833772;64.67786934793435
782336;67.44046970982522;67.11588077345269
786432;67.68252186977143;67.3932955465587
790528;65.34789437428245;66.18743371723073
794624;67.29922299101034;66.85188774741015
798720;65.9953874618018;66.46584005991512
802816;67.63619513898655;67.30657500366792
806912;66.06033877412196;65.09629709307016
811008;67.35391974029096;66.37729142226715
815104;67.38450821616128;66.89157521230977
819200;66.49160425605241;67.31637464832183
823296;67.26646940696496;66.25058340709745
827392;66.6710358794742;66.19136
831488;67.3137460862948;67.044219721149
835584;67.53721136839702;65.54861505723954
839680;66.67760144082777;65.52076598546138
843776;67.20024837593859;66.33101161127512
847872;67.097582009376;67.22644574332911
851968;67.2190392314607;66.83782147347247
856064;67.37194953994619;66.2906702269693
860160;65.77360580092288;66.52458371530962
864256;67.28190797646103;66.86511254917026
868352;67.35383525840993;65.15297108124966
872448;66.70999928232088;66.1626954930983
876544;66.49910858493598;67.23930759525612
880640;67.24750505476446;66.98910804442949
884736;67.15187077845663;66.09744919479922
888832;67.15519622227845;65.85212488126014
892928;66.7104209994952;66.30688952041488
897024;67.1671541591564;66.25464306413288
901120;67.02798760914857;66.73277791803417
905216;66.56738648807287;65.63501140016729
909312;67.08859158981302;65.2752228142862
913408;67.1993887618851;62.65337263480094
917504;67.08517051162967;59.1643656412311
921600;66.60126949034367;66.27787581155319
925696;67.1274778709664;67.03556650741766
929792;66.9894749600202;62.933746954928196
933888;66.06316215374628;64.94500999268828
937984;65.19043750618785;66.24736912943071
942080;67.00359305543908;65.52168090582994
946176;67.05182743490946;66.55957122519052
950272;67.05548387096775;65.7555739493982
954368;66.25047274436028;65.79666688763672
958464;66.85463179074446;66.73342848803112
962560;66.97955962945748;66.35199383218402
966656;67.12662599022417;66.1987060193173
970752;67.00072235839966;65.36020672104883
974848;66.45949015049791;66.49655695420353
978944;66.96817056003155;67.05618218985632
983040;66.81307796145735;65.71310005777949
987136;66.31794196391452;65.60877584930493
991232;66.27357560205581;66.774001015859
995328;66.79865399767255;65.5306065344416
999424;66.92944918801273;65.35207141605396
1003520;66.90881270229535;65.74654072608851
1007616;66.2267113692946;65.85686359558173
1011712;66.62037695279692;65.12703900156006
1015808;66.9501061256991;66.51764987307754
1019904;66.5597579223623;65.94678235051546
1024000;66.23341464032659;66.02429115351075
1028096;66.75612885950967;65.35970302636271
1032192;66.83445375600708;66.0052835970025
1036288;66.92664575790235;66.45902745442801
1040384;66.01792216805752;65.29854296253389
1044480;66.88799623043171;65.8850151589398
1048576;66.32138482023969;66.55401369634208
1052672;66.92107058922987;65.0602024962572
1056768;66.71524112835957;64.00527835051547
1060864;66.77761490571763;66.25444132547132
1064960;66.78819299272514;66.0734190017332
1069056;65.74455810877832;65.58733932547209
1073152;65.65455867116191;64.70219513776337
1077248;66.52022216628912;66.14838378107792
1081344;65.57920105471327;64.55433188586736
1085440;66.22416633287266;65.71748592668054
1089536;66.64276659384979;65.92640546413496
1093632;66.38759294848917;65.89671378910775
1097728;66.59731899338583;66.534508700358
1101824;66.27884873737274;65.9811286983912
1105920;65.73075780089154;66.7165814830331
1110016;65.85100485602963;66.68614043004264
1114112;66.69498516184751;64.70032664683904
1118208;66.43004555694618;65.69917038060036
1122304;66.59003733333333;66.7457774807885
1126400;66.46987426655491;65.82978582101943
1130496;66.16619156631475;65.74531958468563
1134592;65.75179189990122;64.6815748643615
1138688;66.63621106811412;66.29431974377884
1142784;65.54587252131742;66.52539846102376
1146880;66.04392003923772;64.99876228271548
1150976;66.17679157613239;66.15282043879137
1155072;66.70027905877424;62.26998401504466
1159168;66.4497509678658;66.00244839857652
1163264;66.53185005453626;65.81408769448373
1167360;66.02934619863585;65.15500526621298
1171456;65.13589253147101;65.36928278352207
1175552;66.32354141789733;66.27954812438188
1179648;66.43493675333094;66.65274200611167
1183744;66.5948905818334;66.65439685961582
1187840;66.61896845267903;66.46918810891832
1191936;66.36859572327045;65.71646792881972
1196032;66.01904278008364;65.8875889629228
1200128;65.88004232804234;64.08572674856241
1204224;65.69935181843817;66.32236659628597
1208320;66.02181575878728;65.27337383511271
1212416;66.45227036200532;65.60450199813121
1216512;66.2193695371202;66.01852018530775
1220608;66.26993860918536;66.35889650228837
1224704;66.57786845637584;65.72507458592636
